MINN.HUB
Day Ahead, Real Time, NN Output

Day1
41.6, 31.49, 39.7329625609
40.64, 28.67, 29.7168652023
41.06, 29.85, 54.8297556694
41.61, 33.59, 38.2631084698
41.29, 34.48, 41.4067051393
41.38, 53.53, 34.7199493866
44.33, 37.99, 53.3646617153
44.33, 67.56, 34.3042236879
48.08, 64.88, 38.7053656394
44.72, 95.67, 35.8669207115
42.93, 41.15, 31.6284051432
37.91, 45.57, 29.3594342027
40.25, 58.63, 34.793823342
44.48, 98.96, 30.3496240991
34.9, 37.19, 32.3599807355
30.32, 69.73, 33.3052484031
31.56, 38.11, 32.0100628359

Day9
25.32, 78.15, 21.3480328474
23.76, 26.89, 26.3074822724
23.64, 25.99, 34.3506765073
24.14, 26.72, 28.5449859011
26.55, 28.95, 30.9484112249
29.26, 31.47, 27.0227376141
37.63, 28.95, 66.8087344751
40.99, 35.08, 38.1127118071
42.56, 40.88, 28.8921522471
46.53, 44.14, 53.7220727182
47.61, 42.64, 38.0870931333
53.33, 60.87, 40.85207125
51.53, 45.3, 34.3915480261
56.46, 44.74, 55.0013127937
56.09, 68.07, 33.4077941243
53.66, 83.3, 36.8140917268
55.45, 51.61, 35.975723759
55.49, 38.43, 31.0393136917
49.21, 34.34, 30.6765580741
51.44, 54.6, 35.3706167882
53.8, 43.44, 28.4572345521
42.23, 30.87, 33.8231260171
37.33, 38.05, 33.9430028531
35.89, 30.79, 32.611650865

Day10
28.07, 22.98, 22.3173425708
27.63, 24.01, 26.0057733865
26.99, 24.32, 32.9459676072
27.46, 25.12, 29.2529734184
27.7, 27.96, 31.1108084597
31.32, 27.72, 27.7457542936
35.56, 28.46, 66.6994884388
40.38, 30.26, 39.1356083582
42.72, 40.46, 29.3508183241
48.01, 36.3, 54.1567354154
50.02, 41.38, 38.1956481131
49.77, 42.94, 41.3010508127
53.63, 39.52, 34.4097483881
51.53, 36.73, 54.1073773528
52.34, 36.14, 33.8378105942
52.38, 36.57, 37.991055458
52.83, 52.44, 35.9572981066
48.74, 37.31, 31.3409334398
41.26, 30.5, 29.8378327461
40.43, 27.47, 34.9772017776
46.4, 28.95, 29.3863001517
35.24, 30.34, 32.9393536325
31.51, 25.32, 33.6053248461
32.89, 27.17, 32.3100434404
INDIANA.HUB
Day Ahead, Real Time, NN Output

Day1
26.11, 27.93, 20.4632500195
25.18, 26.11, 19.7614885126
24.57, 26.31, 21.6864549861
24.62, 29.63, 24.2720766701
26.17, 30.02, 32.5670879474
29.94, 28.62, 24.6425508536
35.82, 26.15, 64.3267946812
41.21, 30.07, 48.5709127099
44.3, 35.6, 34.8865668551
46.04, 37.05, 56.9086241591
47.15, 41.82, 35.7400846413
47.39, 71.07, 44.9894206981
47.17, 37.94, 30.3597249872
47.92, 35.67, 42.7916975579
48.15, 36.67, 34.1259766899
47.53, 35.91, 39.8903232631
44.2, 39.41, 30.2369037226
39.93, 53.91, 28.1359542642
