MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
30.21, 30.87, 31.9215, 0.66
26.5, 38.57, 28.1886, 12.07
23.83, 26.89, 28.0982, 3.06

Day8
23.12, 24.49, 26.3051, 1.37
22.6, 21.47, 25.0551, -1.13
21.91, 25.15, 24.5736, 3.24
21.99, 19.01, 27.5599, -2.98
23.66, 22.11, 25.7851, -1.55
26.22, 30.57, 28.9735, 4.35
34.42, 40.62, 45.6175, 6.2
37.32, 29.75, 38.2073, -7.57
37, 27.25, 34.8363, 9.75
37.94, 28.67, 51.1041, -9.27
38.34, 25.48, 39.6396, -12.86
38.77, 32, 40.6049, -6.77
38.51, 52.23, 37.2843, -13.72
41.14, 35.35, 39.494, 5.79
41.45, 65.85, 36.9216, -24.4
41.43, 63.72, 37.8053, -22.29
40.41, 94.39, 32.409, -53.98
38.87, 40.39, 32.381, -1.52
34.58, 47.94, 29.9702, -13.36
35.88, 57.44, 45.6817, 21.56
40.37, 96.9, 37.0801, -56.53
30.85, 36.57, 31.9215, 5.72
25.55, 67.5, 28.1886, 41.95
23.66, 39.82, 28.0982, 16.16

Day9
19.21, 85.05, 26.3051, 65.84
18.1, 35.32, 25.0551, 17.22
18.41, 24.78, 24.5736, 6.37
18.65, 26.51, 27.5599, 7.86
18.9, 27.58, 25.7851, 8.68
22.73, 30.07, 28.9735, 7.34
33.52, 27.7, 45.6175, -5.82
37.16, 33.64, 38.2073, -3.52
38.46, 41.9, 34.8363, -3.44
41.24, 49.05, 51.1041, 7.81
44.37, 47.63, 39.6396, -3.26
48.03, 64.35, 40.6049, -16.32
47.96, 50.27, 37.2843, -2.31
53.02, 50.08, 39.494, 2.94
53.85, 73.24, 36.9216, -19.39
51.88, 88.26, 37.8053, -36.38
52.94, 57.23, 32.409, -4.29
51.93, 38.8, 32.381, 13.13
46.06, 37.82, 29.9702, 8.24
47.94, 56.02, 45.6817, -8.08
49.4, 46.23, 37.0801, 3.17
39.13, 29.95, 31.9215, 9.18
29.17, 36.41, 28.1886, -7.24
26.02, 29.2, 28.0982, 3.18

Day10
24.93, 21.82, 26.3051, -3.11
24.28, 28.81, 25.0551, 4.53
23.77, 23.18, 24.5736, -0.59
23.68, 19.11, 27.5599, -4.57
24.24, 20.39, 25.7851, -3.85
27.31, 24.08, 28.9735, -3.23
32.71, 26.68, 45.6175, -6.03
36.81, 28.68, 38.2073, -8.13
38.97, 41.94, 34.8363, -2.97
43.79, 41.04, 51.1041, -2.75
45.61, 46.2, 39.6396, -0.59
45.82, 48.03, 40.6049, -2.21
46.9, 44.48, 37.2843, 2.42
47.67, 35.93, 39.494, 11.74
48.08, 34.9, 36.9216, 13.18
48.07, 35.16, 37.8053, 12.91
48.3, 50.93, 32.409, -2.63
45.12, 36.11, 32.381, 9.01
38.77, 29.38, 29.9702, 9.39
36.58, 26.31, 45.6817, -10.27
42.38, 27.71, 37.0801, 14.67
34.76, 29.06, 31.9215, 5.7
29.11, 24.16, 28.1886, 4.95
25.71, 25.72, 28.0982, 0.01
MICHIGAN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
26.75, 30.82, 26.3988, -4.07
25.63, 35.72, 25.0759, -10.09
25.05, 32.07, 24.5897, -7.02
25.12, 48.67, 27.4839, 23.55
26.59, 35.64, 25.8326, -9.05
30.49, 30.72, 28.9238, -0.23
37.13, 28.31, 45.5419, -8.82
41.55, 30.37, 38.2071, 11.18
44.78, 35.79, 34.7761, 8.99
46.18, 37.35, 51.1543, -8.83
47.27, 42.5, 39.6321, 4.77
47.47, 72.76, 40.5201, -25.29
47.19, 38.27, 37.36, 8.92
48.01, 35.95, 39.4218, 12.06
48.25, 37.23, 36.9052, 11.02
47.58, 36.43, 37.8126, 11.15
44.11, 39.78, 32.4558, 4.33
39.76, 55.5, 32.4493, -15.74
37.29, 65.86, 29.9989, -28.57
44.8, 48.49, 45.6877, 3.69
46.8, 48.86, 37.0449, -2.06
36.21, 30.68, 31.9076, 5.53
27.74, 27.78, 28.1172, 0.04
26.68, 36.28, 28.0302, 9.6

Day2
28.89, 25.01, 26.3866, 3.88
27.59, 24.88, 25.0735, 2.71
27.01, 26, 24.5873, 1.01
27.8, 39.91, 27.4937, -12.11
30.68, 41.29, 25.8267, -10.61
35.18, 111.43, 28.9303, -76.25
37.64, 29.87, 45.5514, -7.77
42.4, 30.55, 38.2073, 11.85
42.64, 33.39, 34.7837, 9.25
45.64, 40.25, 51.1478, -5.39
47.2, 39.35, 39.6334, 7.85
46.33, 49.57, 40.5306, -3.24
48.38, 43.82, 37.3508, 4.56
47.22, 37.67, 39.4309, 9.55
47.66, 41.1, 36.9071, 6.56
47.29, 36.82, 37.8115, 10.47
46.51, 33.74, 32.4499, 12.77
43.52, 40.18, 32.4406, 3.34
38.17, 33.54, 29.9953, 4.63
44.4, 47.74, 45.6871, 3.34
45.37, 31.79, 37.0494, 13.58
37.48, 29.16, 31.9096, 8.32
30.89, 33.88, 28.1263, -2.99
29.17, 32.02, 28.0387, -2.85

Day3
30.49, 17, 26.3251, 13.49
29.48, 22.71, 25.0597, 6.77
28.14, 32.17, 24.577, -4.03
29.35, 16.69, 27.5437, 12.66
32.18, 42.57, 25.7953, -10.39
35.88, 33.51, 28.9629, 2.37
40.11, 38.55, 45.6012, -1.56
40.94, 61.1, 38.2073, -20.16
43.41, 32.7, 34.8233, 10.71
47.01, 32.31, 51.1149, -14.7
46.4, 43.61, 39.6381, 2.79
48.82, 32.82, 40.5866, 16
52.28, 40.3, 37.3006, 11.98
52.7, 36.32, 39.4785, 16.38
51.29, 29.04, 36.918, 22.25
46.8, 33.12, 37.8068, 13.68
45.06, 28.53, 32.419, 16.53
41, 27.4, 32.3956, 13.6
37.16, 27.1, 29.9764, 10.06
40.26, 30.01, 45.683, -10.25
48.25, 29.5, 37.0726, 18.75
35.82, 27.19, 31.9185, 8.63
32.09, 25.79, 28.1733, 6.3
29.05, 27.47, 28.0836, 1.58

Day4
30.91, 23.42, 26.3118, 7.49
28.5, 27.54, 25.0566, 0.96
27.82, 18.99, 24.5748, 8.83
28.67, 23.16, 27.5545, 5.51
30.74, 16.91, 25.7885, 13.83
37.63, 21.11, 28.97, 16.52
38.9, 27.87, 45.6121, -11.03
42.07, 29.42, 38.2073, 12.65
45.89, 23.14, 34.832, 22.75
46.04, 28.26, 51.1077, -17.78
47.67, 32.73, 39.6391, 14.94
